gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,herald,heraldtime,ft,fttime,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,9,Red,ADC,aMiracle,Albus NoX Luna,Jhin,Sivir,Nidalee,Ezreal,27.6,0,2,7,5,12,28,,,,,0,0,3.798116667,0.072463768,0.471014493,1.449275362,0,14.04413333,0,2,,,0,13.71401667,0,0,10,0,25.13745,0,1,6856,248.4057971,0.134584429,0.211383961,5,0.18115942,0.057471264,0,0,0,0,,,8361,171.2884058,8000,-0.525345622,167,0,0,0,6.050724638,0.299212598,60,88,-28,3059,3644,-585,4374,6779,-2405,2920,3303,-383
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,10,Red,Support,Likkrit,Albus NoX Luna,Bard,Sivir,Nidalee,Ezreal,27.6,0,0,5,3,12,28,,,,,0,0,3.798116667,0,0.036231884,1.449275362,0,14.04413333,0,2,,,0,13.71401667,0,0,10,0,25.13745,0,1,4384,158.8405797,0.086058655,0.096650093,34,1.231884058,0.390804598,12,0.434782609,3,3,,,5795,78.3173913,5425,-0.356060606,17,0,0,0,0.615942029,0.027559055,6,0,6,2149,2017,132,3063,3949,-886,2849,2294,555
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,100,Blue,Team,Team,ROX Tigers,,Brand,Karma,Rek'Sai,27.6,1,28,12,66,28,12,,,,,0,1,3.798116667,1.014492754,0.434782609,1.449275362,1,14.04413333,2,0,,,1,13.71401667,1,10,0,1,25.13745,1,0,83915,3040.398551,,,105,3.804347826,1,22,0.797101449,19,19,0.583333333,0.186666667,60962,1550.536232,52860,0.32236806,676,123,91,32,28.94927536,,271,237,34,14901,15675,-774,26006,23170,2836,17046,17835,-789
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,200,Red,Team,Team,Albus NoX Luna,,Sivir,Nidalee,Ezreal,27.6,0,12,28,24,12,28,,,,,1,0,3.798116667,0.434782609,1.014492754,1.449275362,0,14.04413333,0,2,,,0,13.71401667,0,0,10,0,25.13745,0,1,50942,1845.724638,,,87,3.152173913,1,27,0.97826087,11,11,0.535714286,0.155844156,40532,810.3188406,38185,-0.32236806,555,83,77,6,23.11594203,,237,271,-34,15675,14901,774,23170,26006,-2836,17835,17046,789
1001890169,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890169?gameHash=ddd84cc1f87f1451&tab=overview,WC,2016-W,29-09-2016 20:15,1,1,6.18,1,Blue,Top,Odoamne,H2K,Gnar,Twisted Fate,Tahm Kench,Rek'Sai,47.18333333,0,2,3,4,11,14,,,,,0,1,4.08345,0.042387849,0.105969622,0.52984811,0,11.1717,1,4,,,1,16.1388,0,4,10,0,31.07598333,0,2,19028,403.2779936,0.19024005,0.224454375,21,0.445072413,0.114130435,9,0.19074532,1,1,,,16940,231.21639,16725,-0.103472714,351,12,9,3,7.69339456,0.24478595,82,77,5,3167,3217,-50,5011,4889,122,4391,4506,-115
1001890169,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890169?gameHash=ddd84cc1f87f1451&tab=overview,WC,2016-W,29-09-2016 20:15,1,1,6.18,2,Blue,Jungle,Jankos,H2K,Elise,Twisted Fate,Tahm Kench,Rek'Sai,47.18333333,0,0,3,5,11,14,,,,,0,0,4.08345,0,0.063581773,0.52984811,0,11.1717,1,4,,,1,16.1388,0,4,10,0,31.07598333,0,2,16200,343.3415754,0.161965987,0.180322931,52,1.102084069,0.282608696,34,0.72059343,18,19,,,14795,185.7554221,14350,-0.116488925,63,124,106,18,3.963263864,0.142700329,35,38,-3,2889,3163,-274,4361,4775,-414,3247,3107,140
1001890169,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890169?gameHash=ddd84cc1f87f1451&tab=overview,WC,2016-W,29-09-2016 20:15,1,1,6.18,3,Blue,Middle,Ryu,H2K,Cassiopeia,Twisted Fate,Tahm Kench,Rek'Sai,47.18333333,0,5,2,4,11,14,,,,,0,0,4.08345,0.105969622,0.042387849,0.52984811,0,11.1717,1,4,,,1,16.1388,0,4,10,0,31.07598333,0,2,27816,589.5302013,0.278101599,0.221450556,23,0.487460261,0.125,10,0.211939244,4,5,,,16794,228.122077,15285,-0.053486151,319,23,21,2,7.248322148,0.222832053,87,79,8,3290,3118,172,5308,4723,585,4669,4722,-53
1001890169,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890169?gameHash=ddd84cc1f87f1451&tab=overview,WC,2016-W,29-09-2016 20:15,1,1,6.18,4,Blue,ADC,FORG1VEN,H2K,Caitlyn,Twisted Fate,Tahm Kench,Rek'Sai,47.18333333,0,3,2,2,11,14,,,,,0,0,4.08345,0.063581773,0.042387849,0.52984811,0,11.1717,1,4,,,1,16.1388,0,4,10,0,31.07598333,0,2,27950,592.3701872,0.279441317,0.270355191,19,0.402684564,0.10326087,20,0.423878488,1,1,,,19171,278.5000353,17825,-0.013927577,450,27,27,0,10.10950194,0.355653128,93,76,17,3681,3036,645,5542,5028,514,3425,3030,395
1001890169,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890169?gameHash=ddd84cc1f87f1451&tab=overview,WC,2016-W,29-09-2016 20:15,1,1,6.18,5,Blue,Support,Vander,H2K,Braum,Twisted Fate,Tahm Kench,Rek'Sai,47.18333333,0,1,4,3,11,14,,,,,0,0,4.08345,0.021193924,0.042387849,0.52984811,0,11.1717,1,4,,,1,16.1388,0,4,10,0,31.07598333,0,2,9027,191.3175556,0.090251047,0.103416946,69,1.462380784,0.375,13,0.275521017,17,20,,,11057,106.5325327,10475,-0.160263447,53,0,0,0,1.123277994,0.03402854,14,1,13,2049,1883,166,3054,2758,296,2806,2779,27
1001890169,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890169?gameHash=ddd84cc1f87f1451&tab=overview,WC,2016-W,29-09-2016 20:15,1,1,6.18,6,Red,Top,Ziv,AHQ e-Sports Club,Rumble,Nidalee,Syndra,Karma,47.18333333,1,5,2,6,14,11,,,,,0,0,4.08345,0.105969622,0.042387849,0.52984811,0,11.1717,4,1,,,0,16.1388,1,10,4,1,31.07598333,2,0,36896,781.971035,0.315736327,0.229614749,31,0.657011657,0.163157895,6,0.127163546,6,6,,,19312,281.4883787,18550,0.103472714,370,24,21,3,8.350406217,0.273944387,77,82,-5,3217,3167,50,4889,5011,-122,4506,4391,115
